coral_id,delta_surface_area,delta_volume,delta_max_height,delta_interstitial,size_corrected_volume_growth,treatment,reef
POC100,719.747807,750.7030043,2.1642614600000005,573.2408576999997,0.5354643364122352,1,Reef_3-4
POC101,713.314034,987.295155,2.2416977200000012,1081.8297810000004,0.6541563701271798,6,Reef_3-5
POC102,275.6817699999999,956.4720889999999,1.0980811399999997,-133.13968700000032,0.5722867165325533,6,Reef_3-5
POC103,836.2118649999998,1944.379788,2.740469290000002,1001.3858220000006,1.1318676337246178,6,Reef_3-5
POC104,92.1018180000001,659.655391,2.2010977670000003,87.70656900000017,0.4549630790426296,6,Reef_3-5
POC105,370.82188099999985,1638.3389119999997,3.866516650000001,1046.207812,0.9326223678375687,6,Reef_3-5
POC106,333.070477,789.0052090000001,4.028929319999999,930.4935700000001,0.6149030432504126,6,Reef_3-5
POC107,444.419768,1077.5303718999999,-0.3618210140000002,358.2242491000004,1.071691959147128,1,Reef_3-6
POC108,1145.5115230000001,2352.8315091,3.7119580779999994,947.3815549000001,1.530911531415858,1,Reef_3-7
POC109,749.8864059999999,2129.651014,2.41004749,443.281031,1.1532083173118508,3,Reef_3-8
POC110,233.89239799999996,797.3555574999999,2.2961354939999996,374.9898615000004,0.6312522447902903,3,Reef_3-8
POC111,367.88731400000006,1028.308843,1.5700181180000001,566.8024350000003,0.6183057942793876,3,Reef_3-8
POC112,386.26328699999976,2335.3635962,3.1030981900000008,145.88244480000003,1.2236418766353987,3,Reef_3-9
POC113,1282.330768,3565.3817563,7.506397269999999,1169.3761677000007,2.699037059589212,3,Reef_3-9
POC114,-47.179246300000045,728.8903264999999,2.47768894,-192.54003149999994,0.7213980365432533,3,Reef_3-9
