unnamed: 0,master_sort,old_sort,coral_id,site,code,type,search_term,lowest_level,cafi_size_mm,measurement,alt_size_mm,alt_measurement,extraction_method,photo_num,id_certainty,general_notes,identification_notes,revised_yn,revision_date,identified_by,revised_by,previous_name,worms_id,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,genus,species,coral_id_numeric,site_numeric,code_numeric,type_numeric,search_term_numeric,lowest_level_numeric,cafi_size_mm_numeric,measurement_numeric,alt_size_mm_numeric,alt_measurement_numeric,extraction_method_numeric,photo_num_numeric,id_certainty_numeric,general_notes_numeric,identification_notes_numeric,revised_yn_numeric,revision_date_numeric,identified_by_numeric,revised_by_numeric,previous_name_numeric,phylum_numeric,subphylum_numeric,superclass_numeric,class_numeric,subclass_numeric,superorder_numeric,order_numeric,suborder_numeric,infraorder_numeric,superfamily_numeric,family_numeric,subfamily_numeric,genus_numeric,species_numeric
1598,3304.0,3292.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,5.5,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599,3305.0,3293.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,16.5,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600,3306.0,3294.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,7.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601,3307.0,3295.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,4.7,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602,3308.0,3296.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,5.8,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603,3309.0,3297.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,14.9,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604,3310.0,3298.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,15.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605,3311.0,3299.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,7.2,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1606,3312.0,3300.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,16.4,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1607,3313.0,3301.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,21.3,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608,3314.0,3302.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,17.1,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1609,3315.0,3303.0,MAT-POC30,,COMO,snail,Galeropsis monodonta,species,4.8,total_length,,,clove,,certain,,"In biocode as quoyula madreporarum, corrected to accepted name",y,2020-05-22,JC,JC,LIMP,549942.0,Mollusca,,,Gastropoda,Caenogastropoda,,Neogastropoda,,,Muricoidea,Muricidae,Coralliophilinae,Galeropsis,Galeropsis monodonta,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
