,coral_id,position,year,chunk,model,model_type,surface_area_cm2,area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3
84,FE-POC90,2-6E,2021,(FE-POC90),2-6E (FE-POC90)_closed,Mesh,2314.359452,431.3082271,13.99409475,-4.85477553,18.84887028,2298.348505,10563.7534
85,FE-POC91,2-6F,2021,(FE-POC91),2-6F (FE-POC91)_closed,Mesh,1769.235894,323.9847399,16.99077361,-3.257423996,20.2481976,1550.965893,9047.841723
86,FE-POC92,2-7A,2021,(FE-POC92),2-7A (FE-POC92)_closed,Mesh,2619.47506,569.4564899,15.19430833,-3.7268521,18.92116043,3041.566519,16030.66658
87,FE-POC93,2-8A,2021,(FE-POC93),2-8A (FE-POC93)_closed,Mesh,2336.501271,476.6598577,14.83109607,-5.360009125,20.1911052,3488.253194,13184.24848
88,FE-POC94,2-9A,2021,(FE-POC94),2-9A (FE-POC94)_closed,Mesh,2768.73506,597.6409928,13.71179662,-6.05814231,19.76993893,4280.213021,14717.73793
89,FE-POC95,2-9B,2021,(FE-POC95),2-9B (FE-POC95)_closed,Mesh,2385.3862,473.5218736,12.81104224,-6.443308039,19.25435028,3842.710415,12711.00633
90,FE-POC96,2-9C,2021,(FE-POC96),2-9C (FE-POC96)_closed,Mesh,2094.747846,426.0760199,13.49700716,-6.784209486,20.28121664,2799.52348,12053.59386
91,FE-POC97,3-1A,2021,(FE-POC97),3-1A (FE-POC97)_closed,Mesh,2377.21412,509.737906,10.18718996,-8.427899288,18.61508924,2451.977461,15319.36094
92,FE-POC98,3-2A,2021,(FE-POC98),3-2A (FE-POC98)_closed,Mesh,1639.201678,349.2979155,9.598713111,-4.902924828,14.50163794,1364.930646,7018.07236
93,FE-POC99,3-3A,2021,(FE-POC99),3-3A (FE-POC99)_closed,Mesh,2664.738139,483.9310048,13.41353394,-6.373872455,19.7874064,2858.403582,12379.56159
94,FE-POC100,3-4A,2021,(FE-POC100),3-4A (FE-POC100)_closed,Mesh,2125.33246,464.2378804,13.74456296,-3.745091394,17.48965435,1602.020344,10389.62807
95,FE-POC101,3-5A,2021,(FE-POC101),3-5A (FE-POC101)_closed,Mesh,2228.14212,428.6165602,15.30764834,-5.328976247,20.63662458,2083.953669,12649.75328
96,FE-POC102,3-5B,2021,(FE-POC102),3-5B (FE-POC102)_closed,Mesh,1953.951521,349.183095,14.33741763,-7.946832671,22.2842503,2219.573592,10658.81649
97,FE-POC103,3-5C,2021,(FE-POC103),3-5C (FE-POC103)_closed,Mesh,2566.612849,444.9412529,17.28446672,-4.835674913,22.12014164,3344.794155,12460.2736
98,FE-POC104,3-5D,2021,(FE-POC104),3-5D (FE-POC104)_closed,Mesh,1544.667962,394.9053112,11.01605336,-4.308042796,15.32409616,1814.913955,8269.691787
99,FE-POC105,3-5E,2021,(FE-POC105),3-5E (FE-POC105)_closed,Mesh,2132.193481,408.1031139,14.9001537,-7.545166085,22.44531979,2864.374105,11355.41546
100,FE-POC106,3-5F,2021,(FE-POC106),3-5F (FE-POC106)_closed,Mesh,1617.957562,405.0035771,11.03937875,-5.825058695,16.86443744,1836.888091,9520.16791
101,FE-POC107,3-6A,2021,(FE-POC107),3-6A (FE-POC107)_closed,Mesh,1451.572027,293.5867196,6.962186789,-9.182905363,16.14509215,1802.659173,6899.624135
102,FE-POC108,3-7A,2021,(FE-POC108),3-7A (FE-POC108)_closed,Mesh,2694.114219,518.2152121,11.64650274,-6.781686082,18.42818882,3284.021226,12626.6491
103,FE-POC109,3-8A,2021,(FE-POC109),3-8A (FE-POC109)_closed,Mesh,2606.543862,494.0466681,13.10327344,-6.198306068,19.30157951,3227.584461,14143.46245
104,FE-POC110,3-8B,2021,(FE-POC110),3-8B (FE-POC110)_closed,Mesh,1501.112291,332.3298598,9.551417903,-7.755423114,17.30684102,1586.284093,8775.772714
105,FE-POC111,3-8C,2021,(FE-POC111),3-8C (FE-POC111)_closed,Mesh,2040.682604,403.0319407,10.94183269,-6.271250149,17.21308284,2145.862814,9272.652846
106,FE-POC112,3-9A,2021,(FE-POC112),3-9A (FE-POC112)_closed,Mesh,2301.677547,433.6291969,15.79456577,-6.485247148,22.27981292,3240.298834,13345.20253
107,FE-POC113,3-9B,2021,(FE-POC113),3-9B (FE-POC113)_closed,Mesh,2613.69588,471.9019122,18.04454661,-4.483069647,22.52761626,4402.66412,14382.54276
108,FE-POC114,3-9C,2021,(FE-POC114),3-9C (FE-POC114)_closed,Mesh,963.2596112,260.24748,8.675872363,-5.003667531,13.67953989,1350.525796,4912.650716
