coral_id,date,site,survey_type,lat,long,field_obs,morphotype,branch_width,depth,length_field,width_field,height_field,circ_field,volume_field,h_substrate,length_lab,width_lab,height_lab,circ_lab,volume_lab,cafi_known,cafi_method,cafi_unk_date,notes,number_of_neighbors,mean_neighbor_distance,mean_total_volume_of_neighbors,combined_total_volume_of_neighbors,mean_live_volume_of_neighbors,combined_live_volume_of_neighbors,number_of_wide_branching_neighbors,mean_total_volume_of_wide_branching_neighbors,mean_live_volume_of_wide_branching_neighbors,number_of_tight_branching_neighbors,mean_total_volume_of_tight_branching_neighbors,mean_live_volume_of_tight_branching_neighbors,number_of_unknown_branching_neighbors,mean_total_volume_of_unknown_branching_neighbors,mean_live_volume_of_unknown_branching_neighbors,combined_total_volume_of_wide_branching_neighbors,combined_live_volume_of_wide_branching_neighbors,combined_total_volume_of_tight_branching_neighbors,combined_live_volume_of_tight_branching_neighbors,combined_total_volume_of_unknown_branching_neighbors,combined_live_volume_of_unknown_branching_neighbors,nub1_nubbin_length,nub1_stump_length,nub1_use,nub2_nubbin_length,nub2_stump_length,nub2_use
MAT-POC15,7/18/2019,MAT1,neighborhood,NA,NA,JC,meandrina,tight,7,20,26,17,68,4628.613176,0,26,22,16,65,4791.975994,7/18/2019,clove_and_smash,7/18/2019,95% alive,10,145.9,1867.729192,18677.29192,1184.032237,11840.32237,4,2467.982829,852.222457,2,2915.136183,2793.203118,4,743.7720607,711.2565767,9871.931315,3408.889828,5830.272367,5586.406237,2975.088243,2845.026307,65.4,29.5,y,50.3,20.3,y
MAT-POC16,7/18/2019,MAT1,neighborhood,NA,NA,AP,eudoxi,wide,5,25,20,18,65,4712.38898,0,23,19,15,55,3432.189974,8/1/2019,clove,7/18/2019,,8,143.375,3130.793429,25046.34743,2385.902176,19087.21741,0,0,0,6,4039.302755,3086.222083,2,405.2654524,284.9424537,0,0,24235.81653,18517.3325,810.5309047,569.8849073,42,38.9,y,38.6,25.3,y
MAT-POC17,7/19/2019,MAT3,neighborhood,NA,NA,JC,meandrina,tight,7,30,22,20,73,6911.503838,30,NA,NA,NA,NA,NA,7/20/2019,clove_and_smash,7/19/2019,"2.5cm ALLO escaped, add to CAFI data. Coral broken during removal",15,145.8,9306.060665,139590.91,6418.685688,96280.28533,0,0,0,4,11588.2881,8857.406327,11,8476.159779,5531.878183,0,0,46353.15241,35429.62531,93237.75756,60850.66002,43.8,33.8,y,38.3,32.9,y
MAT-POC18,7/19/2019,MAT3,neighborhood,NA,NA,AP,eudoxi,wide,5,26,21,19,69,5431.813698,22,NA,NA,NA,NA,NA,7/20/2019,clove,7/19/2019,no lab measurements,8,90.375,4875.620899,39004.96719,3351.087796,26808.70237,0,0,0,5,3680.480514,2788.901754,3,6867.52154,4288.064533,0,0,18402.40257,13944.50877,20602.56462,12864.1936,44.3,46.5,y,65,53.5,y
MAT-POC19,7/19/2019,MAT3,neighborhood,NA,NA,JC,meandrina,tight,7,29,24,19,77,6924.070209,26,29,23,15,69,5238.60575,7/20/2019,clove_and_smash,7/19/2019,1 branch dead and overgrown,2,83,12016.0683,24032.1366,3007.551367,6015.102734,1,24022.71182,6005.677956,0,0,0,1,9.424777961,9.424777961,24022.71182,6005.677956,0,0,9.424777961,9.424777961,50,34,y,76,0,y
MAT-POC20,7/19/2019,MAT3,neighborhood,NA,NA,AP,eudoxi,wide,6,25,29,23,81,8731.009583,19,30,28,21,81,9236.282402,7/20/2019,clove,7/19/2019,,4,77.5,21691.91188,86767.6475,20388.15092,81552.60369,1,22870.79452,18296.63561,3,21298.95099,21085.32269,0,0,0,22870.79452,18296.63561,63896.85298,63255.96808,0,0,71,45,y,56.9,47,y
MAT-POC21,7/19/2019,MAT3,neighborhood,NA,NA,JC,meandrina,tight,8,25,28,15,63,5497.787144,12,25,19,15,58,3730.641276,7/20/2019,clove_and_smash,7/19/2019,,10,113.2,1171.238101,11712.38101,760.7261891,7607.261891,2,1891.238778,391.4424446,3,2606.998304,2238.489486,5,21.78170907,21.78170907,3782.477555,782.8848893,7820.994911,6715.468457,108.9085453,108.9085453,57.8,26.7,y,72.2,0,y
MRB-POC22,7/22/2019,MRB-S1,size,NA,NA,LZ,eudoxi,wide,4,35,25,18,NA,8246.680716,2,33,21,20,91,7257.07903,7/22/2019,clove,7/22/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.8,24.4,y,49.3,22.4,y
MRB-POC23,7/22/2019,MRB-S1,size,NA,NA,JC,meandrina,tight,7,13,11,7,38,524.1223744,2,13,11,7,38,524.1223744,7/22/2019,clove_and_smash,7/22/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,0,y,44.3,12.3,y
MRB-POC24,7/22/2019,MRB-S1,size,NA,NA,AP,eudoxi,wide,7,10,10,9,32,471.238898,0,13,11,7,38,524.1223744,7/22/2019,clove,7/22/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,21,y,33.2,19.5,y
MRB-POC25,7/22/2019,MRB-S1,size,NA,NA,AP,eudoxi,wide,7,7,6,6,20,131.9468915,0,7,5,5,20,91.62978573,7/22/2019,clove,7/22/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,13.2,y,26,10.7,y
MRB-POC26,7/23/2019,MRB-S2,size,NA,NA,JC,verucosa,tight,5,42,27,14,115,8312.654161,18,40,31,18,109,11686.72467,7/23/2019,clove_and_smash,7/23/2019,tucked in among rocks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.7,0,y,41.5,34.8,y
MRB-POC27,7/23/2019,MRB-S2,size,NA,NA,JC,meandrina,tight,6,6,6,3,16,56.54866776,0,6,5,4,18,62.83185307,7/23/2019,clove_and_smash,7/23/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1,0,y,18,0,y
MRB-POC28,7/23/2019,MRB-S2,size,NA,NA,AP,eudoxi,wide,5,38,27,31,105,16653.58266,30,38,25,21,110,10445.79557,7/23/2019,clove,7/23/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.5,13.8,y,58.3,0,y
MRB-POC29,7/23/2019,MRB-S2,size,NA,NA,AP,eudoxi,wide,5,50,35,41,130,37568.21215,32,NA,NA,NA,NA,NA,7/23/2019,clove,7/23/2019,no lab measurements; broken during transportation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,20.8,y,81.6,NA,n
MRB-POC30,7/24/2019,MRB-S3,size,NA,NA,JC,meandrina,tight,5,52,43,24,162,28098.40469,15,46,38,30,136,27457.51979,7/24/2019,clove_and_smash,7/24/2019,"likely hybrid; branch spacing narrow but ""eudoxi-like"" in other morphological aspects; colony 90% alive, peripheral chunk of dead coral, inner area of colony bleached",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.6,71.5,y,46.8,52.2,y
MRB-POC31,7/24/2019,MRB-S3,size,NA,NA,JC,meandrina,tight,5,16,14,9,46,1055.575132,20,16,15,11,48,1382.300768,7/24/2019,clove_and_smash,7/24/2019,damsel with blue line by base but not in colony - 4.5cm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.1,13.8,y,35.7,23.6,y
MRB-POC32,7/24/2019,MRB-S3,size,NA,NA,AP,eudoxi,wide,7,15,14,11,42,1209.513172,0,15,14,10,40,1099.557429,7/24/2019,clove,7/24/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.8,16.8,y,60.5,0,y
MRB-POC33,7/24/2019,MRB-S3,size,NA,NA,AP,eudoxi,wide,7,45,31,35,119,25564.71022,18,45,34,28,115,22430.97155,7/24/2019,clove,7/25/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5,72.3,y,73.1,60.1,y
MRB-POC34,7/26/2019,MRB-S4,size,NA,NA,JC,meandrina,tight,6,34,29,14,91,7227.757498,12,31,25,20,89,8115.781022,7/26/2019,clove_and_smash,7/26/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,25.9,y,37.8,34,y
MRB-POC35,7/26/2019,MRB-S4,size,NA,NA,JC,meandrina,tight,7,10,10,8,31,418.8790205,13,10,9,7,31,329.8672286,7/26/2019,clove_and_smash,7/26/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.8,27,y,NA,NA,n
MRB-POC36,7/26/2019,MRB-S4,size,NA,NA,AP,eudoxi,wide,6,31,21,20,87,6817.256058,16,31,24,20,88,7791.149781,7/26/2019,clove,7/26/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.2,23,y,34.8,33.1,y
MRB-POC37,7/26/2019,MRB-S4,size,NA,NA,AP,eudoxi,wide,7,27,20,15,74,4241.150082,10,27,17,18,69,4325.973084,7/26/2019,clove,7/26/2019,low amount of POC in neighborhood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.1,36.9,y,43.4,16,y
HAU-POC22,7/29/2019,HAU-S1,size,-17.51298,-149.9224,JC,meandrina,tight,5,34,28,24,90,11963.18482,27,32,28,23,95,10790.32357,7/29/2019,clove_and_smash,7/29/2019,"possible eudoxi hybrid, intermediate branch width",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,25,y,43.3,24.6,y
HAU-POC23,7/29/2019,HAU-S1,size,-17.51298,-149.9224,JC,verucosa,tight,5,10,6,9,27,282.7433388,30,10,7,10,26,366.5191429,7/29/2019,clove_and_smash,7/29/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.2,24.7,y,42.6,42.3,y
HAU-POC24,7/29/2019,HAU-S1,size,-17.51298,-149.9224,AP,eudoxi,wide,5,13,10,14,35,952.9497716,18,13,12,13,33,1061.858317,7/29/2019,clove,7/29/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,21.7,y,40.6,28,y
HAU-POC25,7/29/2019,HAU-S1,size,-17.51298,-149.9224,AP,eudoxi,wide,5,35,25,27,96,12370.02107,0,33,25,22,90,9503.317777,7/29/2019,clove,7/29/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.5,42.6,y,46.9,28.4,y
HAU-POC26,7/30/2019,HAU-S2,size,-17.51948,-149.92129,JC,meandrina,tight,3,14,13,10,42,952.9497716,13,15,13,9,42,918.9158512,7/30/2019,clove_and_smash,7/30/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.4,33.1,y,41.3,20.1,y
HAU-POC27,7/30/2019,HAU-S2,size,-17.51948,-149.92129,JC,meandrina,tight,4,44,37,27,116,23015.30778,16,46,34,30,NA,24567.25455,7/30/2019,clove_and_smash,7/30/2019,"broken, lab measurements unreliable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,47,y,37,27.5,y
HAU-POC28,7/30/2019,HAU-S2,size,-17.51948,-149.92129,AP,verucosa,tight,5,11,9,12,33,622.0353454,16,12,12,5,34,376.9911184,7/30/2019,clove_and_smash,7/30/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,6.5,y,37.3,15.9,y
HAU-POC29,7/30/2019,HAU-S2,size,-17.51948,-149.92129,AP,eudoxi,wide,5,50,42,30,136,32986.72286,0,47,50,27,125,33222.34231,7/30/2019,clove,7/30/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4,230,n,48.4,200,n
HAU-POC30,7/31/2019,HAU-S3,size,-17.51633,-149.92168,JC,verucosa,tight,3,5,4,2,13,20.94395102,18,NA,NA,NA,NA,NA,7/31/2019,clove_and_smash,7/31/2019,"on large, stable piece of loose rubble",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,12.5,y,15.9,16.1,y
HAU-POC31,7/31/2019,HAU-S3,size,-17.51633,-149.92168,JC,eudoxi,wide,4,8,5,6,19,125.6637061,30,NA,NA,NA,NA,NA,7/31/2019,clove,7/31/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.6,10.4,y,27.5,8.2,y
HAU-POC32,7/31/2019,HAU-S3,size,-17.51633,-149.92168,LZ,verucosa,tight,3,55,49,30,147,42332.96101,20,NA,NA,NA,NA,NA,8/1/2019,clove_and_smash,8/1/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,145,n,43,250,n
HAU-POC33,7/31/2019,HAU-S3,size,-17.51633,-149.92168,AP,eudoxi,wide,5,45,33,30,131,23326.32545,14,47,35,27,129,23255.63962,8/1/2019,clove,8/1/2019,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,48.1,y,55,61.1,y
HAU-POC34,8/2/2019,HAU-S2,size,-17.51948,-149.92129,JC,verucosa,tight,5,37,36,36,95,25107.60849,25,36,25,23,98,10838.49465,8/2/2019,clove_and_smash,8/2/2019,"3 small overgrown patches, colony 95% alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,23,y,30.5,21.6,y
HAU-POC35,8/2/2019,HAU-S2,size,-17.51948,-149.92129,AP,eudoxi,wide,3,36,26,26,92,12742.2998,45,35,25,27,90,12370.02107,8/2/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.6,44.2,y,52.3,16.1,y
HAU-POC36,8/2/2019,HAU-S2,size,-17.51948,-149.92129,AP,eudoxi,wide,4,10,9,7,27,329.8672286,0,10,8,7,28,293.2153143,8/2/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,16.2,y,41.3,7.5,y
HAU-POC37,8/2/2019,HAU-S2,size,-17.51948,-149.92129,LZ,eudoxi,wide,4,15,13,13,42,1327.322896,12,15,13,13,39,1327.322896,8/2/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.8,80,n,67.3,80,n
HAU-POC38,8/2/2019,HAU-S2,size,-17.51948,-149.92129,LZ,meandrina,tight,4,16,15,13,45,1633.62818,24,16,15,11,49,1382.300768,8/2/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.6,23.5,y,44.3,16.2,y
MAT-POC22,8/4/2019,MAT-S1,size,NA,NA,AP,eudoxi,wide,6,48,36,31,125,28048.13921,12,46,36,30,124,26012.38717,8/4/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.2,10.8,y,46.1,17.7,y
MAT-POC23,8/4/2019,MAT-S1,size,NA,NA,LZ,,tight,5,36,31,22,120,12855.39714,0,35,33,22,112,13304.64489,8/4/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.3,38.1,y,54.2,46.6,y
MAT-POC24,8/4/2019,MAT-S1,size,NA,NA,JC,eudoxi,wide,6,8,5,9,21,188.4955592,12,9,8,10,22,376.9911184,8/4/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,22,y,43.9,22.2,y
MAT-POC25,8/4/2019,MAT-S1,size,NA,NA,JC,verucosa,tight,6,10,10,6,27,314.1592654,21,9,10,7,27,329.8672286,8/4/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7,0,y,22.8,0,y
MAT-POC26,8/5/2019,MAT-S2,size,NA,NA,JC,meandrina,tight,3,42,27,23,108,13656.50327,18,40,23,20,106,9634.217471,8/5/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.3,20.4,y,41.2,26.9,y
MAT-POC27,8/5/2019,MAT-S2,size,NA,NA,JC,verucosa,tight,4,6,6,4,16,75.39822369,6,6,6,5,17,94.24777961,8/5/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,0,y,19.8,0,y
MAT-POC28,8/5/2019,MAT-S2,size,NA,NA,AP,eudoxi,wide,5,36,34,26,94,16663.00743,14,33,36,22,93,13684.7776,8/5/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.9,33.2,y,69.5,34.5,y
MAT-POC29,8/5/2019,MAT-S2,size,NA,NA,AP,eudoxi,wide,5,10,10,8,29,418.8790205,0,10,10,6,27,314.1592654,8/5/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,0,y,34,0,y
MAT-POC30,8/6/2019,MAT-S3,size,NA,NA,JC,verucosa,tight,5,45,36,16,128,13571.68026,0,46,39,14,123,13150.70685,8/8/2019,clove_and_smash,,"neighborhood on the light side of medium, but POC nearby outside of 2m. Fractured during collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1,93,y,32.4,53,y
MAT-POC31,8/6/2019,MAT-S3,size,NA,NA,JC,verucosa,tight,5,18,15,11,55,1555.088364,0,17,15,12,55,1602.212253,8/8/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,25.5,y,51,9,y
MAT-POC32,8/6/2019,MAT-S3,size,NA,NA,AP,eudoxi,wide,5,46,35,36,124,30347.78503,24,46,31,35,135,26132.81489,8/8/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8,51,y,27.8,44.2,y
MAT-POC33,8/6/2019,MAT-S3,size,NA,NA,AP,eudoxi,wide,5,17,15,15,52,2002.765317,21,19,17,14,51,2367.713663,8/8/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,41.5,y,43,28.4,y
MAT-POC34,8/7/2019,MAT-S3,size,NA,NA,JC,verucosa,tight,4,52,30,26,146,21237.16634,12,48,33,23,140,19075.75059,8/9/2019,clove_and_smash,,"90% alive, one dead spot on side of colony. Split in half during removal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.4,25.3,y,52.5,27.2,y
MAT-POC35,8/7/2019,MAT-S3,size,NA,NA,JC,verucosa,tight,4,15,11,6,40,518.3627878,21,16,13,9,42,980.1769079,8/8/2019,clove_and_smash,,"neighborhood on the denside side, but medium within 2m radius, denser area of POC down current. Heavily fractured during collection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,21.8,y,37.8,25.3,y
MAT-POC36,8/7/2019,MAT-S3,size,NA,NA,JC,verucosa,tight,5,23,17,11,85,2251.998334,8,33,20,16,82,5529.20307,8/8/2019,clove_and_smash,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8,28.2,y,37.3,31.3,y
MAT-POC37,8/7/2019,MAT-S3,size,NA,NA,AP,eudoxi,wide,6,13,11,10,29,748.7462491,11,12,11,11,35,760.2654222,8/8/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.8,22,y,54.1,15.9,y
MAT-POC38,8/7/2019,MAT-S3,size,NA,NA,AP,eudoxi,wide,4,42,30,35,124,23090.706,21,41,26,19,122,10604.9696,8/9/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,36.5,y,63.5,43.3,y
MAT-POC39,8/7/2019,MAT-S3,size,NA,NA,AP,eudoxi,wide,4,30,25,21,76,8246.680716,10,25,16,17,72,3560.471674,8/8/2019,clove,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9,30.9,y,45.2,39.3,y
