Unnamed: 0,X,coral_id,slurry_date,nub,slurry_volume,slurry_notes,coral_num,dry_weight,dip_weight,wax_weight,surface_area,protein_analysis_date,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_Zoox_cells,num_Zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,Year,protein_mg_cm2,carb_mg_cm2,zooxDensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxDensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se,coral_id_numeric,slurry_date_numeric,slurry_notes_numeric,protein_analysis_date_numeric,carb_analysis_date_numeric,haplotype_numeric,dna_collection_date_numeric,branch_width_numeric
104,104,FE-POC45,6/20/2021,2,18.0,,45,6.2596,6.7054,0.4458,1786.0423,10/10/2022,0.207,0.00057735,0.428666667,0.001452966,10/10/2022,0.212,0.002645751,0.062,0.00057735,50.6,2.577928293,10,12/16/2019,tight,0.78,9.9999999999989e-05,0.8261,0.0001,0.0461,0.0,0.8153,0.0002,0.0108,0.0001,2021,0.0043201664406268,0.0006248452234305,506000.0,5099.54327509488,0.108844006662104,1.4643207498501e-05,5.81861918947832e-06,25779.28293,259.807448423814,0.0010078148765009,,,,,,10.0,,
105,105,FE-POC46,6/22/2021,3,15.0,,46,10.5987,11.1294,0.5307,2114.90245,10/10/2022,0.366666667,0.002848001,0.798333333,0.006227181,10/10/2022,0.444666667,0.004910307,0.127,0.001154701,95.75,3.954523685,1a_Pe,12/16/2019,wide,0.7811,0.0061,0.829,0.0056,0.0479,0.0005,0.81685,0.00595,0.01215,0.00035,2021,0.0056621996891629,0.0009007507651239,957500.0,6791.09336697775,0.0861741873720937,4.41664413410652e-05,8.18974652944395e-06,39545.23685,280.475609052323,0.002482383998373,,,,,,,,
106,106,FE-POC47,6/20/2021,2,14.5,,47,10.6762,11.1153,0.4391,1760.08985,10/10/2022,0.417,0.002,0.916,0.00450925,10/10/2022,0.508333333,0.002403701,0.144666667,0.000666667,199.8333333,5.612261108,1a_Pe,8/28/2019,tight,0.7786,0.0136,0.8296,0.0132,0.051,0.0004,0.81475,0.01375,0.01485,0.00055,2021,0.0075462056667163,0.0011917952208519,1998333.333,16462.7012243153,0.122337504531374,3.71481745662018e-05,5.49214660831093e-06,56122.61108,462.350180963773,0.0045310186863471,,,,,,,,
107,107,FE-POC48,6/20/2021,1,12.5,very dilute,48,6.304,6.689,0.385,1550.5335,10/10/2022,0.276666667,0.000666667,0.591,0.001527525,10/10/2022,0.320666667,0.005487359,0.092333333,0.001452966,70.25,3.468745734,1a_Pe,12/16/2019,wide,0.78015,0.00065,0.8284,0.0005,0.04825,0.00015,0.8162,0.0007,0.0122,0.0002,2021,0.0047644891258395,0.000744367446753,702500.0,5663.37328409867,0.0983532442220694,1.23145114246161e-05,1.17134360528167e-05,34687.45734,279.641308459314,0.0016123482659355,,,,,,,,
108,108,FE-POC50,6/20/2021,2,16.0,,50,16.8027,17.5636,0.7609,3006.58215,10/10/2022,0.465,0.003,1.026666667,0.006839428,10/10/2022,0.525333333,0.007838651,0.149333333,0.002333333,104.75,4.017245023,1a_Pm,8/28/2019,wide,0.781,0.0009,0.82885,0.00045,0.04785,0.00045,0.81655,0.00035,0.0123,9.99999999999994e-05,2021,0.0054635682154901,0.0007947008293121,1047500.0,5574.43607519588,0.0654563854175746,3.63970922929879e-05,1.2417198711833e-05,40172.45023,213.784015075058,0.0005321657351022,,,,,,,,
109,109,FE-POC51,6/20/2021,2,14.0,"slightly clumpy, homogenized",51,2.7543,2.9654,0.2111,876.93185,10/13/2022,0.236333333,0.003844188,0.475666667,0.008685876,10/13/2022,0.192,0.005291503,0.051333333,0.001452966,37.29411765,1.459665317,1a_Pm,8/28/2019,tight,0.7756,0.0063,0.82285,0.00595,0.04725,0.00035,0.81075,0.00605,0.0121,0.0001,2021,0.0075939006411957,0.000819523959587,372941.1765,5953.91360343452,0.193173506014179,0.0001386678611342,2.31962426726775e-05,14596.65317,233.031956109246,0.0015964752563155,,,,,,,,
110,110,FE-POC52,5/22/2021,1,20.5,small clumps,52,9.9205,10.4083,0.4878,1948.7293,10/13/2022,0.411333333,0.006437736,0.865,0.014189198,10/13/2022,0.408333333,0.014745998,0.113666667,0.004333333,45.52941176,2.262412896,1a_Pe,8/28/2019,wide,0.76765,0.00035,0.8147,0.0004,0.04705,0.00075,0.8024,0.0002,0.0123,0.0002,2021,0.0090995193637207,0.0011957364593943,455294.1176,4789.54640380272,0.12939200944944,0.0001492657594874,4.55852572750869e-05,22624.12896,237.99849659981,0.002103935112999,,,,,,,,
111,111,FE-POC53,6/20/2021,3,15.0,,53,10.9061,11.5333,0.6272,2488.6952,10/13/2022,0.403,0.001527525,0.846,0.00305505,10/13/2022,0.414333333,0.00983757,0.115333333,0.002603417,125.75,4.214198583,1a_Pe,8/28/2019,wide,0.78505,0.00315,0.8328,0.0034,0.04775,0.00025,0.82,0.0032,0.0128,0.0002,2021,0.005099057530227,0.0006951433807563,1257500.0,7579.27286555622,0.0771488609774311,1.8413564666336e-05,1.56914575155688e-05,42141.98583,254.000484852464,0.0012054509527723,,,,,,,,
112,112,FE-POC54,6/20/2021,2,15.0,,54,8.7967,9.576,0.7793,3077.85455,10/13/2022,0.494666667,0.003282953,1.05,0.007211103,10/13/2022,0.472,0.00057735,0.131666667,0.000333333,134.5833333,4.802868987,10,8/28/2019,tight,0.7851,0.0,0.8331,0.0004,0.048,0.0004,0.8205,0.0005,0.0126,9.99999999999994e-05,2021,0.0051172008761752,0.0006416807464147,1345833.333,6558.95191506044,0.0614064105141031,3.51434881807524e-05,1.6245065901506e-06,48028.68987,234.069003699346,0.0004873524643976,,,,,,10.0,,
113,113,FE-POC55,6/20/2021,2,44.0,,55,18.417,19.4429,1.0259,4033.05965,10/13/2022,0.197,0.002081666,0.389,0.004725816,10/13/2022,0.161333333,0.000881917,0.042666667,0.000333333,41.23529412,1.705375178,1a_Pe,12/16/2019,tight,0.7841,0.0045,0.8325,0.0055,0.0484,0.001,0.8192,0.0052,0.0133,0.0003,2021,0.0042439243367005,0.0004654861348257,412352.9412,4498.7009832101,0.1451007549566,5.1557854841051e-05,3.63660676330438e-06,17053.75178,186.05355324214,0.0032729493599233,,,,,,,,
114,114,FE-POC56,6/20/2021,3,26.0,,56,6.5008,6.9302,0.4294,1722.5169,10/13/2022,0.312,0.001527525,0.644,0.00305505,10/13/2022,0.288666667,0.003382964,0.079,0.001,53.76923077,2.514455251,3a,12/16/2019,tight,0.77145,0.00195,0.82105,0.00275,0.0496,0.0008,0.81365,0.00325,0.0074,0.0005,2021,0.0097206593444743,0.0011924411307662,537692.3077,8116.03067592544,0.111697017312283,4.61135098297149e-05,1.50941915286869e-05,25144.55251,379.536691489065,0.0075470957643434,,,,,,,,
115,115,FE-POC57,6/20/2021,2,17.0,,57,11.8792,12.3472,0.468,1872.034,10/13/2022,0.424,0.010016653,0.892666667,0.021697414,10/13/2022,0.488,0.007767453,0.136,0.002081666,136.9166667,10.46817568,1a_Pe,8/28/2019,wide,0.7751,0.0089,0.8213,0.0099,0.0462,0.001,0.8079,0.0102,0.0134,0.0003,2021,0.0081063342540787,0.0012350203041184,1369166.667,12433.4458343171,0.121685824082255,0.0001970349032122,1.89036748264187e-05,104681.7568,950.618346461656,0.0027243094943788,,,,,,,,
116,116,FE-POC58,6/20/2021,1,15.0,,58,3.8977,4.1415,0.2438,1003.5953,10/13/2022,0.209666667,0.001333333,0.416666667,0.002848001,10/13/2022,0.165666667,0.002962731,0.043666667,0.000881917,52.4,1.830300522,Did not amplify,8/28/2019,tight,0.77665,0.00425,0.8255,0.0054,0.04885,0.00115,0.80585,0.00075,0.01965,0.00615,2021,0.0062276098792013,0.0006526535198002,524000.0,7831.84217781809,0.293694081668178,4.25669739585269e-05,1.31813640418603e-05,18303.00522,273.561542486299,0.0919195217434757,,,,,,,,
117,117,FE-POC59,6/20/2021,3,23.0,,59,14.9659,16.169,1.2031,4719.44385,10/13/2022,0.519333333,0.005044249,1.104333333,0.011289129,10/13/2022,0.464,0.003464102,0.129,0.001154701,63.08333333,2.840343378,Did not amplify,8/28/2019,tight,0.77575,0.00135,0.8238,0.0012,0.04805,0.00015,0.8111,0.0013,0.0127,0.0001,2021,0.0053819194520134,0.000628675770769,630833.3333,3074.33823286191,0.0618928859594335,5.50170688014436e-05,5.62738404017668e-06,28403.43378,138.422873055265,0.0004873455587356,,,,,,,,
118,118,FE-POC60,6/20/2021,1,15.0,,60,5.4218,5.7486,0.3268,1325.0958,10/13/2022,0.322,0.00305505,0.666,0.006557439,10/13/2022,0.374666667,0.004255715,0.103666667,0.00120185,52.23076923,2.307051193,1a_Pm,8/28/2019,wide,0.7734,0.0022,0.82115,0.00185,0.04775,0.00035,0.8091,0.0021,0.01205,0.00025,2021,0.0075390775519777,0.0011735000631652,522307.6923,5912.4897871535,0.136405231983982,7.42297915365817e-05,1.36048653991659e-05,23070.51193,261.156724630778,0.0028299840660577,,,,,,,,
