coral_id,sampling_date,metashape_chunk,metashape_model,model_type,surface_area_cm2,projected_area_cm2,max_height_cm,min_height_cm,height_range_cm,volume_cm3,extent_volume_cm3
FE-POC20,2019-12-01,2-3 (FE-POC20),2-3 (FE-POC20)_closed,Mesh,8615.845838,1558.533065,23.39689037,-9.961287056,33.35817743,16583.11121,66627.57852
FE-POC20,2021-05-01,2-3 (FE-POC20),2-3 (FE-POC20)_closed,Mesh,12643.57886,2096.759219,25.13596572,-12.66547117,37.80143689,24901.30542,104025.8057
FE-POC21,2019-12-01,3-2 (FE-POC21),3-2 (FE-POC21)_closed,Mesh,638.0763046,138.8177235,6.57520688,-6.63471123,13.20991811,418.2380947,2558.237291
FE-POC21,2021-05-01,3-2 (FE-POC21),3-2 (FE-POC21)_closed,Mesh,1616.497996,305.9654819,10.60643068,-5.279370701,15.88580138,1437.77559,6185.906426
FE-POC22,2019-12-01,2-2 (FE-POC22),2-2 (FE-POC22)_closed,Mesh,1119.063041,225.004816,5.898081837,-6.947258459,12.8453403,1086.994978,3853.137527
FE-POC22,2021-05-01,2-2 (FE-POC22),2-2 (FE-POC22)_closed,Mesh,1705.224642,321.1648555,8.259443288,-6.639626571,14.89906986,1777.300142,6555.570098
FE-POC23,2019-12-01,1-5 (FE-POC23),1-5 (FE-POC23)_closed,Mesh,969.6157682,213.3799197,8.303805906,-4.733799391,13.0376053,1020.224862,3636.229951
FE-POC23,2021-05-01,1-5 (FE-POC23),1-5 (FE-POC23)_closed,Mesh,1606.170704,305.4129736,24.41420725,7.019796271,17.39441098,1731.180214,6919.338144
FE-POC24,2019-12-01,4-10 (FE-POC24),4-10 (FE-POC24)_closed,Mesh,7934.09047,1363.361852,17.56569923,-8.280216034,25.84591526,15059.31867,47198.36393
FE-POC24,2021-05-01,4-10 (FE-POC24),4-10 (FE-POC24)_closed,Mesh,10791.832,1841.169318,22.6845432,-8.303257425,30.98780063,24267.40183,77810.49542
FE-POC25,2019-12-01,3-13 (FE-POC25),3-13 (FE-POC25)_closed,Mesh,290.7161083,66.90080955,2.602549352,-5.914917024,8.517466376,220.5509343,775.3195141
FE-POC25,2021-05-01,3-13 (FE-POC25),3-13 (FE-POC25)_closed,Mesh,373.5471284,97.98737367,2.793243423,-7.14709025,9.940333673,387.2934824,1297.302483
FE-POC26,2019-12-01,4-8 (FE-POC26),4-8 (FE-POC26)_closed,Mesh,150.5236623,42.57782914,-1.224400316,-7.346686579,6.122286263,106.86435,339.4399977
FE-POC26,2021-05-01,4-8 (FE-POC26),4-8 (FE-POC26)_closed,Mesh,462.0771075,112.4021065,-1.27053654,-10.02187023,8.751333694,419.3794304,1305.494361
FE-POC27,2019-12-01,3-1 (FE-POC27),3-1 (FE-POC27)_closed,Mesh,322.199418,89.47646193,2.082656718,-6.702059729,8.784716447,248.7547711,1087.799728
FE-POC27,2021-05-01,3-1 (FE-POC27),3-1 (FE-POC27)_closed,Mesh,849.5767564,210.3731155,5.506206845,-7.763683796,13.26989064,618.8491265,4216.832575
FE-POC29,2019-12-01,1-3 (FE-POC29),1-3 (FE-POC29)_closed,Mesh,5220.104699,932.8078703,22.64691689,-6.541405526,29.18832242,12063.4312,37812.20198
FE-POC29,2021-05-01,1-3 (FE-POC29),1-3 (FE-POC29)_closed,Mesh,7342.270204,1217.489631,24.79537382,-6.857461248,31.65283507,17036.90771,52916.80639
FE-POC30,2021-05-01,1-9 (FE-POC30),1-9 (FE-POC30)_closed,Mesh,1982.169194,393.9200451,9.765577938,-6.408134596,16.17371253,1958.879404,8630.332949
FE-POC31,2019-12-01,3-12 (FE-POC31),3-12 (FE-POC31)_closed,Mesh,4805.093835,831.9875979,21.31688977,-2.666837702,23.98372747,5739.181742,26108.52618
FE-POC31,2021-05-01,3-12 (FE-POC31),3-12 (FE-POC31)_closed,Mesh,6210.588749,1035.930207,25.00822681,-3.715814485,28.7240413,10148.03306,37948.03674
FE-POC32,2019-12-01,4-6 (FE-POC32),4-6 (FE-POC32)_closed,Mesh,5532.240029,844.7464477,24.7139266,-4.783212317,29.49713892,3843.085385,30992.31278
FE-POC32,2021-05-01,4-6 (FE-POC32),4-6 (FE-POC32)_closed,Mesh,7849.939926,1077.347585,30.32550205,-3.284490862,33.60999292,7100.559312,49728.19973
FE-POC32,2021-05-01,4-15 (FE-POC32),4-15 (FE-POC32)_closed,Mesh,5097.697841,893.2935173,14.97910088,-9.858203267,24.83730415,9940.693505,29697.19176
FE-POC33,2019-12-01,2-14 (FE-POC33),2-14 (FE-POC33)_closed,Mesh,2924.399402,573.2010692,15.29800593,-7.817742053,23.11574799,5409.278389,16454.5177
FE-POC33,2021-05-01,2-14 (FE-POC33),2-14 (FE-POC33)_closed,Mesh,3146.411688,720.0817408,19.99420949,-3.729306252,23.72351575,7947.722998,21495.23783
FE-POC34,2019-12-01,4-2 (FE-POC34),4-2 (FE-POC34)_closed,Mesh,6095.517454,1098.944221,24.16041662,-3.767563889,27.92798051,6364.240042,40544.39669
FE-POC34,2021-05-01,4-2 (FE-POC34),4-2 (FE-POC34)_closed,Mesh,7248.688118,1248.263055,28.17060744,-3.994367593,32.16497503,12622.70167,54949.31138
FE-POC35,2019-12-01,2-5 (FE-POC35),2-5 (FE-POC35)_closed,Mesh,643.2979534,152.113213,5.421623788,-6.48703,11.90865379,799.2149963,2347.931599
FE-POC35,2021-05-01,2-5 (FE-POC35),2-5 (FE-POC35)_closed,Mesh,1305.590954,237.7316174,19.49317808,5.2324714,14.26070668,1555.678929,4387.074515
FE-POC35,2021-05-01,4-14 (FE-POC35),4-14 (FE-POC35)_closed,Mesh,6075.164823,913.5046585,22.78851612,-8.747915581,31.5364317,10960.59597,37912.06778
FE-POC36,2019-12-01,4-13 (FE-POC36),4-13 (FE-POC36)_closed,Mesh,627.4409703,155.1455758,2.88184187,-6.307753823,9.189595693,597.5588318,1829.052652
FE-POC36,2021-05-01,4-13 (FE-POC36),4-13 (FE-POC36)_closed,Mesh,1278.072438,286.5019035,6.036731849,-6.550035954,12.5867678,1565.611462,4775.851203
FE-POC37,2019-12-01,1-8 (FE-POC37),1-8 (FE-POC37)_closed,Mesh,8006.464095,1125.413884,27.15512303,-11.95365756,39.10878059,8809.579698,57717.48506
FE-POC37,2021-05-01,1-8 (FE-POC37),1-8 (FE-POC37)_closed,Mesh,10795.83218,1507.539616,29.04319362,-11.72857884,40.77177246,15612.9786,80896.4296
FE-POC38,2019-12-01,4-5 (FE-POC38),4-5 (FE-POC38)_closed,Mesh,3570.570345,717.6358216,18.25360353,-5.113658897,23.36726242,7344.699003,24371.80022
FE-POC38,2021-05-01,4-5 (FE-POC38),4-5 (FE-POC38)_closed,Mesh,5134.659333,903.9975441,21.95289432,-5.562810997,27.51570531,11853.63538,35851.37753
FE-POC39,2019-12-01,4-12 (FE-POC39),4-12 (FE-POC39)_closed,Mesh,2006.319342,416.5073047,11.17314659,-7.010652557,18.18379915,3414.070966,10214.89438
FE-POC39,2021-05-01,4-12 (FE-POC39),4-12 (FE-POC39)_closed,Mesh,2160.52485,471.5759781,11.57386313,-8.276510127,19.85037325,4522.143504,12238.22008
FE-POC40,2019-12-01,2-13_FE-POC40,2-13_FE-POC40_closed,Mesh,449.3933329,118.7502929,2.819362963,-5.959355681,8.778718644,472.8227411,1317.28957
FE-POC40,2021-05-01,2-13 (FE-POC40),2-13 (FE-POC40)_closed,Mesh,693.7156717,155.7834839,4.365559843,-6.820808637,11.18636848,791.5610154,2200.841301
FE-POC41,2019-12-01,3-7 (FE-POC41),3-7 (FE-POC41_closed,Mesh,5843.221047,988.5481802,27.23685341,-4.741645284,31.97849869,10921.39318,40843.96698
FE-POC41,2021-05-01,3-7 (FE-POC41),3-7 (FE-POC41)_closed,Mesh,6782.576148,1124.323258,29.1529774,-7.527698698,36.6806761,16119.40587,54048.81955
FE-POC42,2019-12-01,2-7 (FE-POC42),2-7 (FE-POC42)_closed,Mesh,3320.402266,505.8694649,17.96163636,-3.690118619,21.65175498,3503.766523,13436.68426
FE-POC42,2021-05-01,2-7 (FE-POC42),2-7 (FE-POC42)_closed,Mesh,4783.814336,757.8864763,20.88084545,-5.880819152,26.76166461,7121.455008,24760.02308
FE-POC43,2019-12-01,1-4 (FE-POC43),1-4 (FE-POC43)_closed,Mesh,686.7263003,183.2244595,7.910262247,-7.165579074,15.07584132,627.1420612,4068.88579
FE-POC43,2021-05-01,1-4 (FE-POC43),1-4 (FE-POC43)_closed,Mesh,1088.620092,231.9805872,13.28102104,-4.430521747,17.71154279,1079.343229,5312.064444
FE-POC44,2019-12-01,3-15 (FE-POC44),3-15 (FE-POC44)_closed,Mesh,165.7253246,49.4609117,1.231262795,-5.207905476,6.439168272,79.21076855,452.2626732
FE-POC44,2021-05-01,3-15 (FE-POC44),3-15 (FE-POC44)_closed,Mesh,449.5584502,132.4143955,5.472152415,-4.86420871,10.33636112,264.248963,1961.880857
FE-POC45,2019-12-01,3-4 (FE-POC45),3-4 (FE-POC45)_closed,Mesh,3165.735872,699.3454348,13.76586331,-6.758904681,20.524768,7609.806478,18489.25959
FE-POC45,2021-05-01,3-4 (FE-POC45),3-4 (FE-POC45)_closed,Mesh,3395.025719,790.1108542,11.38690915,-8.678668323,20.06557747,5709.406346,20441.75699
FE-POC46,2019-12-01,1-15 (FE-POC46),1-15 (FE-POC46)_closed,Mesh,2555.248433,519.6012948,11.75539678,-8.040367233,19.79576402,2888.886923,13963.73104
FE-POC46,2021-05-01,1-15 (FE-POC46),1-15 (FE-POC46)_closed,Mesh,4448.5951,785.2835054,15.28493866,-7.948858111,23.23379677,6061.47245,23834.24544
FE-POC47,2019-12-01,3-11 (FE-POC47),3-11 (FE-POC47)_closed,Mesh,5376.771686,1072.904556,16.6860502,-8.047376077,24.73342628,9897.586883,33799.01483
FE-POC47,2021-05-01,3-10 (FE-POC47),3-10 (FE-POC47)_closed,Mesh,5856.068183,1336.420979,21.9128084,-6.047150767,27.95995917,14065.1544,51472.89925
FE-POC47,2021-05-01,3-11 (FE-POC47),3-11 (FE-POC47)_closed,Mesh,6362.080493,1497.912983,19.74660934,-9.003078798,28.74968814,21517.14244,54912.22868
FE-POC48,2019-12-01,1-10 (FE-POC48),1-10 (FE-POC48)_closed,Mesh,4110.568287,650.9575108,19.01491623,-6.203959086,25.21887532,3622.187878,21846.62888
FE-POC48,2021-05-01,1-10 (FE-POC48),1-10 (FE-POC48)_closed,Mesh,5927.273272,919.9830451,21.15204698,-8.425414052,29.57746104,6396.440189,35485.34905
FE-POC49,2019-12-01,4-3 (FE-POC49),4-3 (FE-POC49)_closed,Mesh,72.04947489,28.53386663,-2.682656463,-7.515467867,4.832811404,37.60040069,193.5023765
FE-POC49,2021-05-01,4-3 (FE-POC49),4-3 (FE-POC49)_closed,Mesh,236.8083716,77.80793175,0.940905714,-7.236761317,8.177667031,162.8222793,908.4660429
FE-POC50,2019-12-01,4-14 (FE-POC50),4-14 (FE-POC50)_closed,Mesh,3620.826213,621.6542078,19.88036794,-5.736646062,25.617014,5625.995295,22037.30825
FE-POC51,2019-12-01,2-15 (FE-POC51),2-15 (FE-POC51)_closed,Mesh,228.0839161,72.32579767,0.469153903,-7.296455807,7.76560971,216.6586035,765.0828761
FE-POC51,2021-05-01,2-15 (FE-POC51),2-15 (FE-POC51)_closed,Mesh,572.8487515,151.8613175,4.008952829,-6.55950416,10.56845699,715.2689372,2095.971181
FE-POC52,2019-12-01,2-4 (FE-POC52),2-4 (FE-POC52)_closed,Mesh,449.2507967,113.2511554,2.68755101,-6.812719834,9.500270844,387.8736365,1488.588383
FE-POC52,2021-05-01,2-4 (FE-POC52),2-4 (FE-POC52)_closed,Mesh,944.83831,215.5612301,4.347566082,-7.919326638,12.26689272,877.7437628,3483.989245
FE-POC53,2019-12-01,4-1 (FE-POC53),4-1 (FE-POC53)_closed,Mesh,2276.189103,429.4173599,9.820881704,-5.902415572,15.72329728,1952.843576,9280.783049
FE-POC53,2021-05-01,4-1 (FE-POC53),4-1 (FE-POC53)_closed,Mesh,3395.132747,620.4232102,12.98999365,-5.809118325,18.79911197,3081.556816,15770.00775
FE-POC54,2019-12-01,2-6 (FE-POC54),2-6 (FE-POC54)_closed,Mesh,1976.520107,397.3890414,13.57501621,-7.395871106,20.97088732,3605.883262,10906.60779
FE-POC54,2021-05-01,2-6 (FE-POC54),2-6 (FE-POC54)_closed,Mesh,3152.616023,616.7814251,15.26053411,-9.240621606,24.50115572,7466.379921,19074.43947
FE-POC55,2019-12-01,3-8 (FE-POC55),3-8 (FE-POC55)_closed,Mesh,3640.491369,550.924967,12.90780863,-7.526957663,20.43476629,3770.274863,14863.36366
FE-POC55,2021-05-01,3-8 (FE-POC55),3-8 (FE-POC55)_closed,Mesh,3424.922371,668.1326744,14.71245869,-8.044223306,22.756682,6637.309943,19912.13485
FE-POC56,2019-12-01,1-14 (FE-POC56),1-14 (FE-POC56)_closed,Mesh,5070.040337,804.0799717,16.90368062,-7.683367846,24.58704847,7361.500703,27539.21823
FE-POC56,2021-05-01,1-14 (FE-POC56),1-14 (FE-POC56)_closed,Mesh,6734.388232,1235.120749,20.16260396,-11.70738219,31.86998615,16181.84986,55435.7701
FE-POC57,2019-12-01,1-1 (FE-POC57),1-1 (FE-POC57)_closed,Mesh,7118.84167,1103.12214,21.9543161,-7.779050951,29.73336705,11914.26813,44482.90351
FE-POC57,2021-05-01,1-1 (FE-POC57),1-1 (FE-POC57)_closed,Mesh,9813.414766,1355.602335,25.97704327,-7.502395382,33.47943866,15891.28657,60352.61837
FE-POC58,2019-12-01,3-10 (FE-POC58),3-10 (FE-POC58)_closed,Mesh,6124.20756,1175.307249,19.74232593,-7.289017609,27.03134354,11290.60153,43684.42151
FE-POC59,2019-12-01,2-10 (FE-POC59),2-10 (FE-POC59)_closed,Mesh,7521.728929,1352.100988,25.18743407,-7.908471932,33.095906,18987.20852,57242.51339
FE-POC59,2021-05-01,2-10 (FE-POC59),2-10 (FE-POC59)_closed,Mesh,8606.932906,1691.196298,25.14053115,-8.705888656,33.84641981,22746.53637,78018.10011
FE-POC60,2019-12-01,4-9 (FE-POC60),4-9 (FE-POC60)_closed,Mesh,4107.234747,855.2743332,17.86963873,-3.561466847,21.43110558,5104.510054,26170.90298
FE-POC60,2021-05-01,4-9 (FE-POC60),4-9 (FE-POC60)_closed,Mesh,5693.270692,1089.540976,19.61980695,-4.987809043,24.60761599,8836.73804,36655.617
