coral_id,slurry_date,nub,slurry_rep,slurry_volume,slurry_notes,dry_weight,dip_weight,wax_weight,surface_area,wax_dipping_notes,protein_analysis_date,protein_sample_notes,protein_absorbance,protein_absorbance_se,protein_mg_ml,protein_se,carb_analysis_date,carb_sample_notes,carb_absorbance,carb_absorbance_se,carb_mg_ml,carb_se,avg_num_zoox_cells,num_zoox_cells_se,haplotype,dna_collection_date,branch_width,burned_pan,burned_pan_se,burned_pan_dry_res,burned_pan_dry_res_se,dry_tissue,dry_tissue_se,burned_pan_burned_res,burned_pan_burned_res_se,afdw_g_ml,afdw_se,protein_mg_cm2,carb_mg_cm2,zooxdensity,zoox_cells_cm2,afdw_mg_cm2,protein_mg_cm2_se,carb_mg_cm2_se,zooxdensity_se,zoox_cells_cm2_se,afdw_mg_cm2_se
HAU-POC28,2019-08-16,1.0,1,19.0,nub not recorded; used wax dip data,11.251,11.957,0.706,2738.79,,2020-11-03,smear,0.324333333,0.002728451,0.640666667,0.006984109,2020-11-19,,0.297,0.00450925,0.086333333,0.001333333,47.61111111,1.80257421,1a_Pm,2019-07-30,tight,0.77485,0.00585,0.8258,0.0087,0.05095,0.00285,0.8139,0.0089,0.0119,0.0002,0.0044445418133555,0.0005989262875211,476111.1111,3302.95901142475,0.0825547048149,4.84513493184947e-05,9.24982455756009e-06,18025.7421,125.05124522143,0.0013874740305025
HAU-POC29,2019-08-16,1.0,1,15.0,nub not recorded; used wax dip data,24.7075,26.1749,1.4674,5624.496,Weighed in December,2020-11-02,pellet/smear,0.601666667,0.01219745,1.34,0.030746273,2020-11-18,,0.806666667,0.008192137,0.235666667,0.002333333,150.3333333,7.365082786,1a_Pe,2019-07-30,wide,0.77815,0.00105,0.83135,0.00035,0.0532,0.0007,0.81485,0.00085,0.0165,0.0005,0.0035736535326898,0.0006285007590013,1503333.333,4009.24811663125,0.0440039427532707,8.19974083011171e-05,6.22277889432226e-06,73650.82786,196.41980684136,0.0013334528107051
HAU-POC30,2019-08-16,2.0,1,17.0,nub not recorded; used wax dip data,4.825,5.377,0.552,2155.13,,2020-11-02,smear,0.256,0.001154701,0.471666667,0.002603417,2020-11-18,,0.265666667,0.000333333,0.08,0.0,30.94444444,1.322189267,1a_Pm,2019-07-31,tight,0.7667,,0.8138,,0.0471,,0.8024,,0.0114,,0.0037205798903082,0.0006310524191116,309444.4444,2440.94581524084,0.0899249697234042,2.05361574475786e-05,0.0,13221.89267,104.296341932969,
HAU-POC31,2019-08-16,2.0,1,18.0,nub not recorded; used wax dip data,11.784,12.81,1.026,3951.59,,2020-10-28,,0.340333333,0.003929942,0.8,0.011372481,2020-11-19,,0.423333333,0.005811865,0.122,0.001732051,54.41666667,2.323980172,1a_Pe,2019-07-31,wide,0.75535,5e-05,0.8039,0.0003,0.04855,0.00025,0.79185,0.00015,0.01205,0.00045,0.0036441027535751,0.0005557256699202,544166.6667,2478.7490606566,0.0548892977257256,5.18031116588513e-05,7.88971477304072e-06,23239.80172,105.86028180049,0.002049807798886
HAU-POC32,2019-08-16,2.0,1,24.0,,7.434,7.987,0.553,2158.92,,2020-11-02,smear,0.354333333,0.005206833,0.719,0.012165525,2020-11-17,,0.318666667,0.004096069,0.096666667,0.000881917,38.88888889,1.592237889,3f,2019-07-31,tight,0.77015,0.00195,0.8185,0.0017,0.04835,0.00025,0.807,0.0015,0.0115,0.0002,0.0079928853315546,0.0010746113834695,388888.8889,4323.14922905897,0.127841698627091,0.00013524012006,9.80397976766161e-06,15922.37889,177.003822911456,0.0022233338891668
HAU-POC33,2019-08-16,2.0,1,20.5,nub not recorded; used wax dip data,26.416,27.802,1.386,5315.99,,2020-11-01,pellet,0.612666667,0.015814902,1.295666667,0.036607528,2020-11-16,,0.640333333,0.008293237,0.184666667,0.002403701,126.5,5.852349955,1a_Pe,2019-07-31,wide,0.77425,0.00865,0.8256,0.0089,0.05135,0.00025,0.8111,0.0087,0.0145,0.0002,0.0049964666362239,0.000712128253345,1265000.0,4878.2070696145,0.0559162075173204,0.0001411692505064,9.26936854659245e-06,58523.49955,225.683596239835,0.0007712580347216
HAU-POC34,2019-08-16,1.0,1,20.0,nub not recorded; used wax dip data,17.179,18.828,1.649,6312.76,,2020-11-03,,0.722666667,0.013445363,1.581333333,0.031466031,2020-11-19,,0.801666667,0.007838651,0.255666667,0.002333333,127.6666667,4.379243973,10,2019-12-16,tight,0.7621,,0.8156,,0.0535,,0.7999,,0.0157,,0.0050099586646728,0.0008099996419949,1276666.667,4044.71789518372,0.0497405255387501,9.96902495897199e-05,7.3924337373827e-06,43792.43973,138.742609349952,
HAU-POC35,2019-08-16,2.0,1,19.5,,26.239,27.848,1.609,6161.16,,2020-11-01,pellet,0.730666667,0.009243616,1.573,0.022233608,2020-11-16,,0.760666667,0.010365541,0.218666667,0.002728451,88.25,3.898572,1a_Pe,2019-12-16,wide,0.77055,0.00455,0.82345,0.00485,0.0529,0.0003,0.80775,0.00455,0.0157,0.0003,0.0049785267709327,0.0006920774669867,882500.0,2793.1022729486,0.0496903180569893,7.03691116607911e-05,8.63551579572678e-06,38985.72,123.389352005142,0.0009494965233819
HAU-POC36,2019-08-16,1.0,1,15.0,,7.164,7.664,0.5,1958.05,,,,,,,,2020-11-19,,0.346666667,0.004666667,0.114666667,0.001452966,42.33333333,1.481917147,1a_Pe,2019-12-16,wide,0.7776,0.0102,0.82555,0.01045,0.04795,0.00025,0.8138,0.0101,0.01175,0.00035,,0.0008784249661653,423333.3333,3243.02239447409,0.0900130231607977,,1.11307116774342e-05,14819.17147,113.524972319399,0.0026812389877684
HAU-POC37,2019-08-16,1.0,1,20.5,,37.738,40.042,2.304,8795.21,,2020-11-02,pellet,0.57,0.012342339,1.26,0.030369941,2020-11-18,,0.626,0.007637626,0.183333333,0.002185813,106.8333333,2.212339134,1a_Pe,2019-12-16,wide,0.7794,0.0077,0.835,0.0082,0.0556,0.0005,0.81655,0.00815,0.01845,5e-05,0.002936825840429,0.000427315928386,1068333.333,2490.08645916357,0.043003521234854,7.07866884929411e-05,5.09472388948075e-06,22123.39134,51.5655137819336,0.0001165407079535
