Chunk,Model,Model type,Surface Area (cm^2),Area (cm^2),Max height (cm),Min height (cm),Height range (cm),Volume (cm^3),Extent Volume (cm^3),Convex Hull Volume (cm^3)
3-5F (FE-POC106), 3-5F (FE-POC106)_closed_200K,Mesh,1762.481383,404.8695118,11.03937875,-5.825058817,16.86443757,1836.608535,9517.637142,3899.453148
3-6A (FE-POC107), 3-6A (FE-POC107)_open_200K,Mesh,1449.867614,293.5254783,6.962186804,-9.182905393,16.1450922,0,6899.196642,3072.677819
3-6A (FE-POC107), 3-6A (FE-POC107)_closed_200K,Mesh,1558.724304,293.5239196,6.962186804,-9.182905393,16.1450922,1802.48023,6899.196642,3071.96309
3-7A (FE-POC108), 3-7A (FE-POC108)_open_200K,Mesh,2682.394263,517.8679581,11.64572108,-6.781686082,18.42740716,0,12615.92271,6219.347614
3-7A (FE-POC108), 3-7A (FE-POC108)_closed_200K,Mesh,2833.037699,517.8943912,11.64572108,-6.778732564,18.42445364,3282.65618,12613.90065,6215.734456
3-8A (FE-POC109), 3-8A (FE-POC109)_open_200K,Mesh,2596.604802,493.7233664,13.09895082,-6.198306068,19.29725689,0,14131.01406,6200.493537
3-8A (FE-POC109), 3-8A (FE-POC109)_closed_200K,Mesh,2731.500996,493.6396766,13.09895082,-6.198306068,19.29725689,3226.226757,14129.30703,6203.052116
3-8B (FE-POC110), 3-8B (FE-POC110)_open_200K,Mesh,1497.025423,332.1735578,9.548806219,-7.755423082,17.3042293,0,8769.7638,3376.419356
3-8B (FE-POC110), 3-8B (FE-POC110)_closed_200K,Mesh,1660.029875,332.178841,9.548806219,-7.755423082,17.3042293,1585.838744,8770.081941,3375.168928
3-8C (FE-POC111), 3-8C (FE-POC111)_open_200K,Mesh,2030.994554,402.6755836,10.9352402,-6.271250294,17.20649049,0,9257.560771,4651.044213
3-8C (FE-POC111), 3-8C (FE-POC111)_closed_200K,Mesh,2173.879989,402.6619855,10.93337841,-6.253034967,17.18641337,2144.72159,9247.847288,4648.884444
